arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
aredis_om/settings.py,1,1.0,1,1,A,,get_root_migrations_dir,4
aredis_om/cli/main.py,1,1.0,1,1,A,,om,14
aredis_om/model/query_resolver.py,5,1.2,2,6,A,LogicalOperatorForListOfExpressions,query,13
aredis_om/model/token_escaper.py,3,1.33,2,4,A,TokenEscaper,__init__,14
aredis_om/model/migrations/schema/base.py,3,1.67,3,5,A,BaseSchemaMigration,__init__,27
aredis_om/util.py,4,1.75,3,7,A,,has_numeric_inner_type,27
aredis_om/checks.py,3,2.0,3,6,A,,has_redisearch,21
aredis_om/model/migrations/data/base.py,10,2.4,7,24,B,PerformanceMonitor,get_stats,73
aredis_om/connections.py,1,3.0,3,3,A,,get_redis_connection,9
aredis_om/model/migrations/schema/legacy_migrator.py,10,3.4,13,34,C,SchemaDetector,detect_migrations,138
aredis_om/model/types.py,4,3.5,6,14,B,GeoFilter,from_coordinates,66
aredis_om/model/cli/index.py,8,3.88,11,31,C,,_rebuild,132
aredis_om/model/migrations/data/builtin/datetime_migration.py,36,4.61,21,166,D,MigrationState,_process_hash_model,503
aredis_om/model/model.py,162,5.07,51,821,F,ModelMeta,__new__,2412
aredis_om/model/cli/migrate.py,12,5.25,14,63,C,,run,101
aredis_om/model/cli/migrate_data.py,13,6.62,19,86,C,,status,75
aredis_om/model/migrations/data/migrator.py,15,6.87,21,103,D,DataMigrator,run_migrations_with_monitoring,295
aredis_om/model/migrations/schema/migrator.py,10,7.5,15,75,C,SchemaMigrator,downgrade,166
aredis_om/redisvl.py,3,11.0,19,33,C,,_get_field_type,46
aredis_om/model/render_tree.py,1,14.0,14,14,C,,render_tree,10
aredis_om/model/encoders.py,2,19.0,36,38,E,,jsonable_encoder,68
